CRV;N/A;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=7801394|https://www.computer.org/csdl/proceedings/crv/2016/2491/00/index.html;978-1-5090-2491-9;conf/crv/2016;2017-01-06;IEEE Computer Society;N/A;13th Conference on Computer and Robot Vision, CRV 2016, Victoria, BC, Canada, June 1-3, 2016;N/A;2016.0;Victoria,BC,Canada
MICCAI (1);Jon Sporring|Mads Nielsen|Rasmus Larsen 0001;https://doi.org/10.1007/11866565;3-540-44707-5;conf/miccai/2006-1;2019-01-04;Springer;Lecture Notes in Computer Science;Medical Image Computing and Computer-Assisted Intervention - MICCAI 2006, 9th International Conference, Copenhagen, Denmark, October 1-6, 2006, Proceedings, Part I;4190;2006.0;Denmark
PPPJ;James F. Power|John Waldron;https://dl.acm.org/citation.cfm?id=957289;0-9544145-1-9;conf/pppj/2003;2018-11-26;ACM;ACM International Conference Proceeding Series;Proceedings of the 2nd International Symposium on Principles and Practice of Programming in Java, PPPJ 2003, Kilkenny City, Ireland, June 16-18, 2003;42;2003.0;Kilkenny City,Ireland
CSEE&T;N/A;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=7195873|https://www.computer.org/csdl/proceedings/cseet/2015/6701/00/index.html;978-1-4673-6701-1;conf/csee/2015;2016-04-27;IEEE Computer Society;N/A;28th IEEE Conference on Software Engineering Education and Training, CSEE&T 2015, Florence, Italy, May 18-19, 2015;N/A;2015.0;Training,Florence,Italy
ICALP (2);Bettina Speckmann|Kazuo Iwama|Magnús M. Halldórsson|Naoki Kobayashi 0001;https://doi.org/10.1007/978-3-662-47666-6|https://www.wikidata.org/entity/Q57006402;978-3-662-47665-9;conf/icalp/2015-2;2018-11-14;Springer;Lecture Notes in Computer Science;Automata, Languages, and Programming - 42nd International Colloquium, ICALP 2015, Kyoto, Japan, July 6-10, 2015, Proceedings, Part II;9135;2015.0;Kyoto,Japan
IIKI;N/A;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=8276202|https://www.computer.org/csdl/proceedings/iiki/2016/5952/00/index.html;978-1-5090-5952-2;conf/iiki/2016;2019-02-12;IEEE Computer Society;N/A;International Conference on Identification, Information and Knowledge in the Internet of Things, IIKI 2016, Beijing, China, October 20-21, 2016;N/A;2016.0;Beijing,China
DEECS;Juhnyoung Lee|Junho Shim|Martin Hepp|Mehmet Sayal|Sang-goo Lee;https://dl.acm.org/citation.cfm?doid=1278380;978-1-59593-856-5;conf/deec/2007;2018-11-28;ACM;ACM International Conference Proceeding Series;Data Engineering Issues in E-Commerce and Services, Third International Workshop, DEECS 2007, In conjunction with ACM Conference on Electronic Commerce (EC '07), San Diego, CA, USA, June 12, 2007, Proceedings;236;2007.0;San Diego,CA, USA
CADE;Deepak Kapur;https://doi.org/10.1007/3-540-55602-8;3-540-55602-8;conf/cade/1992;2017-05-20;Springer;Lecture Notes in Computer Science;Automated Deduction - CADE-11, 11th International Conference on Automated Deduction, Saratoga Springs, NY, USA, June 15-18, 1992, Proceedings;607;1992.0;Saratoga Springs,NY,USA
ICCDA;N/A;https://doi.org/10.1145/3093241;978-1-4503-5241-3;conf/iccda/2017;2018-11-06;ACM;N/A;Proceedings of the International Conference on Compute and Data Analysis, ICCDA 2017, Lakeland, FL, USA, May 19-23, 2017;N/A;2017.0;Lakeland
N/A;Krithi Ramamritham|T. M. Vijayaraman|Umeshwar Dayal;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=8910|https://www.computer.org/csdl/proceedings/icde/2003/2071/00/index.html;0-7803-7665-X;conf/icde/2003;2016-04-25;IEEE Computer Society;N/A;Proceedings of the 19th International Conference on Data Engineering, March 5-8, 2003, Bangalore, India;N/A;2003.0;India
WORDS;N/A;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=9690|http://www.computer.org/csdl/proceedings/words/2003/1929/00/index.html;0-7695-1929-6;conf/words/2003;2014-11-06;IEEE Computer Society;N/A;8th IEEE International Workshop on Object-Oriented Real-Time Dependable Systems (WORDS 2003), 15-17 January 2003, Guadalajara, Mexico;N/A;2003.0;Guadalajara,Mexico
IWSG;N/A;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=6881322|https://www.computer.org/csdl/proceedings/iwsg/2014/5819/00/index.html;978-1-4799-5819-1;conf/iwsg/2014;2016-12-23;IEEE Computer Society;N/A;6th International Workshop on Science Gateways, IWSG 2014, Dublin, Ireland, June 3-5, 2014;N/A;2014.0;Dublin,Ireland
SRDS;N/A;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=4690784|http://www.computer.org/csdl/proceedings/srds/2008/3410/00/index.html;978-0-7695-3410-7;conf/srds/2008;2015-01-09;IEEE Computer Society;N/A;27th IEEE Symposium on Reliable Distributed Systems (SRDS 2008), Napoli, Italy, October 6-8, 2008;N/A;2008.0;Napoli,Italy
ICDT;Joachim Biskup|Richard Hull 0001;https://doi.org/10.1007/3-540-56039-4;3-540-56039-4;conf/icdt/92;2017-11-13;Springer;Lecture Notes in Computer Science;Database Theory - ICDT'92, 4th International Conference, Berlin, Germany, October 14-16, 1992, Proceedings;646;1992.0;Berlin,Germany
