books/aw/Knuth73|books/mk/PattersonH90|conf/icde/PaiV92|conf/sigmod/SalzbergTGSUV90|conf/stoc/VitterS90|conf/vldb/IyerRV89|journals/acta/Salzberg89|journals/cacm/AggarwalV88|journals/tc/BeckBW88|journals/tc/KwanB85,http://doi.ieeecomputersociety.org/10.1109/69.494169|https://doi.org/10.1109/69.494169,IEEE Trans. Knowl. Data Eng.,journals/tkde/ZhengL96,20/05/2017,322-332,Speeding up External Mergesort.,8,1996,journal,,,LuoQuan Zheng,,Claude Godart|Madhukar R. Korupolu|Hitoshi Matsumoto
books/bc/ElmasriN94|books/bc/TanselCGJSS93|books/bc/tanselCGSS93/ElmasriWK93a|books/bc/tanselCGSS93/JensenM93|books/bc/tanselCGSS93/LometS93|books/ph/Salzberg88|conf/gis/Snodgrass92|conf/sigmod/BlakeleyLT86|conf/sigmod/LindsayHM86|conf/sigmod/LometS90|conf/sigmod/SnodgrassA85|conf/vldb/AdibaL80|conf/vldb/CareySLLM90|conf/vldb/Stonebraker87|journals/csur/McKenzieS91|journals/csur/SalzbergT99|journals/sigmod/JensenCEGHJ94|journals/sigmod/McKenzie86|journals/sigmod/Soo91|journals/sigmod/TsotrasK96|journals/tkde/GunadhiS93|journals/tkde/JensenM92|journals/tkde/JensenMR91|journals/tkde/OzsoyogluS95a|journals/tods/BlakeleyCL89|journals/tods/LometS90|journals/tods/Roussopoulos91,http://doi.ieeecomputersociety.org/10.1109/69.706059|https://doi.org/10.1109/69.706059,IEEE Trans. Knowl. Data Eng.,journals/tkde/TorpMJ98,20/05/2017,599-611,Efficient Differential Timeslice Computation.,10,1998,journal,,,Kristian Torp,,R. T. Wood|Lissa F. Pollacia|Eng Koon Sze
conf/aaai/Levinson84|conf/ecai/Napoli92|conf/ijcai/AsherV95|conf/kr/Gruber91|conf/kr/GruberO94|journals/ai/LindsayBFL93|journals/ai/Valdes-Perez95|journals/aim/Brachman85|journals/cogsci/WinstonCH87|journals/ijmms/Brachman77,http://doi.ieeecomputersociety.org/10.1109/69.706054|https://doi.org/10.1109/69.706054,IEEE Trans. Knowl. Data Eng.,journals/tkde/VetM98,20/05/2017,513-526,Bottom-Up Construction of Ontologies.,10,1998,journal,,,Paul E. van der Vet,bottom,Jehan-François Pâris|Michel Couprie|John S. Schlipf|Markus Kradolfer|Michael O'Donnell|Christine Collet
conf/ecai/DuboisPT88|conf/iclp/DuboisLP91|conf/ijcai/DuboisLP87|conf/ijcai/DuboisP91|conf/ijcai/IshizukaK85|conf/ijcai/Shapiro83|journals/ai/DuboisP91|journals/ai/Kleer86|journals/ai/Nilsson86|journals/ijmms/Hinde86|journals/jacm/Lee72|journals/jlp/Emden86,http://doi.ieeecomputersociety.org/10.1109/69.273026|https://doi.org/10.1109/69.273026,IEEE Trans. Knowl. Data Eng.,journals/tkde/DuboisLP94,20/05/2017,64-71,"Automated Reasoning Using Possibilistic Logic: Semantics, Belief Revision, and Variable Certainty Weights.",6,1994,journal,,,Didier Dubois,,Emilia Rosti|C. M. O. Moura|Lin S. Woo
books/sp/PreparataS85|conf/eds/StonebrakerSH86|conf/fodo/Ghosh85|conf/icde/CheineyFM86|conf/icde/SrivastavaL88|conf/ifip/OhsawaS83|conf/sigmod/Guttman84|conf/sigmod/Malvestuto88|conf/sigmod/OzsoyogluOM85|conf/sigmod/Robinson81|conf/sigmod/Sato81|conf/ssdbm/ChenMM88|conf/ssdbm/FortunatoRRS86|conf/ssdbm/Hebrail86|conf/vldb/SellisRF87|conf/wg/HinrichsN83|journals/cacm/Bentley75|journals/cacm/Codd70|journals/csur/Samet88|journals/csur/TeoreyYF86|journals/is/Ghosh88|journals/jacm/HorowitzP76|journals/siamcomp/Yao85a|journals/tods/Chen76|journals/tods/SmithS77|journals/tse/Ghosh86,http://doi.ieeecomputersociety.org/10.1109/69.43426|https://doi.org/10.1109/69.43426,IEEE Trans. Knowl. Data Eng.,journals/tkde/ChenM89,20/05/2017,519-529,On the Data Model and Access Method of Summary Data Management.,1,1989,journal,,,Meng Chang Chen,,Christos Makris|D. Chow|David Adam
books/aw/Samet90|conf/icde/Gunther93|conf/icde/LuH92|conf/icde/OlkenR93|conf/icde/Rotem91|conf/sigmod/BeckmannKSS90|conf/sigmod/BrinkhoffKS93|conf/sigmod/FaloutsosSR87|conf/sigmod/Guttman84|conf/sigmod/LoR94|conf/sigmod/Orenstein89|conf/sigmod/Orenstein90|conf/ssd/LoR95|conf/ssd/Orenstein91|conf/vldb/SellisRF87|journals/tods/NievergeltHS84|journals/tods/Valduriez87,http://doi.ieeecomputersociety.org/10.1109/69.667097|https://doi.org/10.1109/69.667097,IEEE Trans. Knowl. Data Eng.,journals/tkde/LoR98,20/05/2017,136-152,The Design and Implementation of Seeded Trees: An Efficient Method for Spatial Joins.,10,1998,journal,,,Ming-Ling Lo,implementation|trees,Mechtild Wallrath|Berthier A. Ribeiro-Neto|David E. Culler|Giuseppe F. Italiano|Clemens Bertram|Altigran Soares da Silva|Stefan Kramer 0001|Michael Picard|T. C. Tan|Peri L. Tarr|Paul J. Feltovich|Moshé M. Zloof|Ilsoo Ahn|Olga Kapitskaia|Zerksis D. Umrigar|Nathaniel Nystrom|Ilsoo Ahn|W. Grace Tang|Frédéric Gingras|Russell Sasnett
books/aw/AhoSU86|books/aw/Sedgewick83|conf/focs/GuibasO77|conf/isca/Gonzalez-RubioRT84|conf/isca/TakahashiYNM86|journals/cacm/AhoC75|journals/cacm/BoyerM77|journals/siamcomp/KnuthMP77|journals/tods/HaskinH83,http://doi.ieeecomputersociety.org/10.1109/69.219740|https://doi.org/10.1109/69.219740,IEEE Trans. Knowl. Data Eng.,journals/tkde/FanS93,20/05/2017,339-351,An Efficient Algorithm for Matching Multiple Patterns.,5,1993,journal,,,Jang-Jong Fan,,Alexandros Biliris|M. van der Nat|Hiroshi Sakai
journals/aim/Bock85,http://doi.ieeecomputersociety.org/10.1109/69.134248|https://doi.org/10.1109/69.134248,IEEE Trans. Knowl. Data Eng.,journals/tkde/BockKKRS92,20/05/2017,109-122,Gray-Scale ALIAS.,4,1992,journal,,,Peter Bock,scale|alias,J. Israel|Adolph D'Cunha|Rajan Suri|Anthony K. H. Tung|Tuyet-Tram Dang-Ngoc|Iakovos Motakis|Larry Fujitani|Dagobert Soergel|Manabu Ohta|Cleve B. Moler|Taha Khedro
conf/cikm/DimitrovaME97|conf/icmcs/DayDIKG95|conf/icmcs/YeoL95|conf/mm/ChangCMSZ97|conf/mm/HampapurWJ94|conf/mm/TeodosioB93|conf/mm/ZabihMM95|conf/spieSR/BoreczkyR96|conf/spieSR/KoblaDLF97|conf/spieSR/NiblackZHBPPFUNSDYSZP98|conf/spieSR/YeungY97|journals/cacm/ChristelKMRSSW95|journals/cacm/Grosky97|journals/cacm/GuptaJ97|journals/ieeemm/NwosuTB97|journals/mms/ArmanHC94|journals/mta/ZhangLS95,http://doi.ieeecomputersociety.org/10.1109/69.738361|https://doi.org/10.1109/69.738361,IEEE Trans. Knowl. Data Eng.,journals/tkde/DimitrovaMEM98,20/05/2017,988-995,Video Content Management in Consumer Devices.,10,1998,journal,,,Nevenka Dimitrova,,Robert Armstrong|Kirby Zhang|K. Davies
conf/ac/Gray78|conf/berkeley/DuBourdieu82|conf/icde/BoberC92|conf/icde/KolovsonS89|conf/podc/Silberschatz82|conf/sigmod/AgrawalS89|conf/sigmod/ChanFLNR82|conf/sigmod/LometS89|conf/sigmod/MohanPL92|conf/sigmod/StearnsR81|conf/vldb/BoberC92|conf/vldb/LaiW84|conf/vldb/Stonebraker87|journals/acta/BayerM72|journals/acta/BayerS77|journals/cacm/EswarranGLT76|journals/dc/AgrawalBGS87|journals/dtj/RaghavanR91|journals/ibmrd/Easton86|journals/tkde/HaasCLMWLLPCS90|journals/tocs/Reed83|journals/tods/BayerHR80|journals/tods/LehmanY81|journals/tse/ChanG85|phd/Carey83|phd/Robinson82,http://doi.ieeecomputersociety.org/10.1109/69.567048|https://doi.org/10.1109/69.567048,IEEE Trans. Knowl. Data Eng.,journals/tkde/BoberC97,06/11/2017,68-84,Indexing for Multiversion Locking: Alternatives and Performance Evaluation.,9,1997,journal,,,Paul M. Bober,indexing|locking|alternatives,Kirack Sohn|Béchir el Ayeb|Kjetil Nørvåg|Ming Li 0008|Stefan Deßloch|Theodore R. Bashkow|Suk Kyoon Lee|Reinhold Kröger|Donald E. Knuth|Remzi Kirkgöze|Jean-Marc Petit|Arthur J. Riel|Terry R. Payne|Albert Chang|P. Petry|Edward Pervin|Jörg Liebeherr|Stephen Alan Herrod|Michael L. Greenberg|Dirk Ellinghaus|Lawrence J. Henschen|Michael Lebowitz|Mas Tsuchiya|Simone Santini|Snehasis Mukhopadhyay|Tim Connors|Werner Nutt|Gultekin Özsoyoglu|Sol J. Greenspan
books/cs/Ullman89|books/mit/PF91/CaiCH91|books/mit/PF91/FrawleyPM91|books/mit/PF91/KaufmanMK91|books/mit/PF91/OLeary91|books/mit/PF91/Piatetsky91|books/mit/PF91/ZytkowB91|books/mit/PiatetskyF91|books/mit/fayyadPSU96/HanF96|conf/coopis/HanFN94|conf/eds/CuppensD88|conf/eds/ShumM88|conf/icde/PirotteR89|conf/kdd/HanF94|conf/sigmod/AgrawalIS93|conf/sigmod/BorgidaB93|conf/sigmod/MotroY90|conf/vldb/Motro89|journals/cacm/SilberschatzSU91|journals/csur/HullK87|journals/csur/TeoreyYF86|journals/jiis/ChuC92|journals/jiis/MichalskiKKR92|journals/jlp/Imielinski87|journals/tkde/HanCC93|journals/tkde/YuS89|journals/tods/Chen76,http://doi.ieeecomputersociety.org/10.1109/69.506706|https://doi.org/10.1109/69.506706,IEEE Trans. Knowl. Data Eng.,journals/tkde/HanHCF96,05/06/2017,373-390,Intelligent Query Answering by Knowledge Discovery Techniques.,8,1996,journal,,,Yue Huang,,Daniel A. Nonen|Robert P. Chase Jr.|Ralf-Detlef Kutsche
